Date,AAPL,AMZN,MSFT,NVDA,SP500,TSLA
2021-12-22,175.64,171.037,333.2,29.4,4696.6,336.29
2021-12-23,176.28,171.0685,334.69,29.64,4725.8,355.6666
2021-12-27,180.33,169.6695,342.45,30.945,4791.2,364.6466
2021-12-28,179.29,170.661,341.25,30.322,4786.4,362.8233
2021-12-29,179.38,169.201,341.95,30.001,4793.1,362.0633
2021-12-30,178.2,168.6445,339.32,29.586,4778.7,356.78
2021-12-31,177.57,166.717,336.32,29.411,4766.2,352.26
2022-01-03,182.01,170.4045,334.75,30.121,4796.6,399.9266
2022-01-04,179.7,167.522,329.01,29.29,4793.5,383.1966
2022-01-05,174.92,164.357,316.38,27.604,4700.6,362.7066
2022-01-06,172.0,163.254,313.88,28.178,4696.1,354.9
2022-01-07,172.17,162.554,314.04,27.247,4677.0,342.32
2022-01-10,172.19,161.486,314.27,27.4,4670.3,352.7066
2022-01-11,175.08,165.362,314.98,27.817,4713.1,354.8
2022-01-12,175.53,165.207,318.27,27.999,4726.4,368.74
2022-01-13,172.19,161.214,304.8,26.575,4659.0,343.8533
2022-01-14,173.07,162.138,310.2,26.942,4662.9,349.87
2022-01-18,169.8,158.9175,302.65,25.903,4577.1,343.5033
2022-01-19,166.23,156.299,303.33,25.067,4532.8,331.8833
2022-01-20,164.51,151.6675,301.6,24.15,4482.7,332.09
2022-01-21,162.41,142.643,296.03,23.374,4397.9,314.6333
2022-01-24,161.62,144.544,296.37,23.372,4410.1,310.0
2022-01-25,159.78,139.986,288.49,22.324,4356.4,306.1333
2022-01-26,159.69,138.8725,296.71,22.772,4349.9,312.47
2022-01-27,159.22,139.6375,299.84,21.944,4326.5,276.3666
2022-01-28,170.33,143.978,308.26,22.84,4431.9,282.1166
2022-01-31,174.78,149.5735,310.98,24.486,4515.6,312.24
2022-02-01,174.61,151.1935,308.76,24.638,4546.5,310.4166
2022-02-02,175.84,150.6125,313.46,25.242,4589.4,301.8866
2022-02-03,172.9,138.8455,301.25,23.948,4477.4,297.0466
2022-02-04,172.39,157.6395,305.94,24.319,4500.5,307.7733
2022-02-07,171.66,157.9355,300.95,24.728,4483.9,302.4466
2022-02-08,174.83,161.4135,304.56,25.108,4521.5,307.3333
2022-02-09,176.28,161.1895,311.21,26.705,4587.2,310.6666
2022-02-10,172.12,159.0035,302.38,25.824,4504.1,301.5166
2022-02-11,168.64,153.2935,295.04,23.949,4418.64,286.6666
2022-02-14,168.88,155.167,295.0,24.267,4401.67,291.92
2022-02-15,172.79,156.5105,300.47,26.495,4471.07,307.4766
2022-02-16,172.55,158.1005,299.5,26.511,4475.01,307.7966
2022-02-17,168.88,154.6525,290.73,24.507,4380.26,292.1166
2022-02-18,167.3,152.6015,287.93,23.642,4348.87,285.66
2022-02-22,164.32,150.1975,287.72,23.39,4304.76,273.8433
2022-02-23,160.07,144.827,280.27,22.387,4225.5,254.68
2022-02-24,162.74,151.358,294.59,23.748,4288.7,266.9233
2022-02-25,164.85,153.7885,297.31,24.157,4384.65,269.9566
2022-02-28,165.12,153.563,298.79,24.385,4373.94,290.1433
2022-03-01,163.2,151.142,294.95,23.477,4306.26,288.1233
2022-03-02,166.56,152.0525,300.19,24.22,4386.54,293.2966
2022-03-03,166.23,147.8985,295.92,23.714,4363.49,279.7633
2022-03-04,163.17,145.641,289.86,22.936,4328.87,279.43
2022-03-07,159.3,137.453,278.91,21.352,4201.09,268.1933
2022-03-08,157.44,136.0145,275.85,21.514,4170.7,274.8
2022-03-09,162.95,139.279,288.5,23.014,4277.88,286.3233
2022-03-10,158.52,146.8175,285.59,22.658,4259.52,279.4333
2022-03-11,154.73,145.5245,280.07,22.1,4204.31,265.1166
2022-03-14,150.62,141.853,276.44,21.33,4173.11,255.4566
2022-03-15,155.09,147.3665,287.15,22.973,4262.45,267.2966
2022-03-16,159.59,153.104,294.39,24.496,4357.86,280.0766
2022-03-17,160.62,157.239,295.22,24.766,4411.67,290.5333
2022-03-18,163.98,161.2505,300.43,26.453,4463.12,301.7966
2022-03-21,165.38,161.4915,299.16,26.734,4461.18,307.0533
2022-03-22,168.82,164.889,304.06,26.524,4511.61,331.3266
2022-03-23,170.21,163.408,299.49,25.634,4456.24,333.0366
2022-03-24,174.07,163.6495,304.1,28.15,4520.16,337.9733
2022-03-25,174.72,164.7735,303.68,27.692,4543.06,336.88
2022-03-28,175.6,168.9905,310.7,28.219,4575.52,363.9466
2022-03-29,178.96,169.315,315.41,28.656,4631.6,366.5233
2022-03-30,177.77,166.301,313.86,27.69,4602.45,364.6633
2022-03-31,174.61,162.9975,308.31,27.286,4530.41,359.2
2022-04-01,174.31,163.56,309.42,26.712,4545.86,361.53
2022-04-04,178.44,168.3465,314.97,27.36,4582.64,381.8166
2022-04-05,175.06,164.055,310.88,25.931,4525.12,363.7533
2022-04-06,171.83,158.756,299.5,24.407,4481.15,348.5866
2022-04-07,172.14,157.7845,301.37,24.208,4500.21,352.42
2022-04-08,170.09,154.4605,296.97,23.119,4488.28,341.83
2022-04-11,165.75,151.122,285.26,21.917,4412.53,325.31
2022-04-12,167.66,150.7875,282.06,21.504,4397.45,328.9833
2022-04-13,170.4,155.541,287.62,22.203,4446.59,340.79
2022-04-14,165.29,151.7065,279.83,21.258,4392.59,328.3333
2022-04-18,165.07,152.785,280.52,21.783,4391.69,334.7633
2022-04-19,167.4,158.1155,285.3,22.198,4462.21,342.7166
2022-04-20,167.23,153.998,286.36,21.482,4459.45,325.7333
2022-04-21,166.42,148.296,280.81,20.183,4393.66,336.26
2022-04-22,161.79,144.35,274.03,19.515,4271.78,335.0166
2022-04-25,162.88,146.074,280.72,19.902,4296.12,332.6733
